LOG_SUCCESS       | info    | The initialization finished successfully without homotopy method.
assert            | info    | The following assertion has been violated at time 10.010000
assert            | info    | The following assertion has been violated at time 10.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 15.010000
assert            | info    | The following assertion has been violated at time 15.010000
assert            | info    | The following assertion has been violated at time 15.010000
assert            | info    | The following assertion has been violated at time 15.010000
assert            | info    | The following assertion has been violated at time 15.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 20.010000
assert            | info    | The following assertion has been violated at time 20.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 25.010000
assert            | info    | The following assertion has been violated at time 25.010000
assert            | info    | The following assertion has been violated at time 25.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 30.010000
assert            | info    | The following assertion has been violated at time 30.010000
assert            | info    | The following assertion has been violated at time 30.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 35.010000
assert            | info    | The following assertion has been violated at time 35.010000
assert            | info    | The following assertion has been violated at time 35.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 40.010000
assert            | info    | The following assertion has been violated at time 40.010000
assert            | info    | The following assertion has been violated at time 40.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 45.010000
assert            | info    | The following assertion has been violated at time 45.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 50.010000
assert            | info    | The following assertion has been violated at time 50.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 55.010000
assert            | info    | The following assertion has been violated at time 55.010000
assert            | info    | The following assertion has been violated at time 55.010000
assert            | info    | The following assertion has been violated at time 55.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 60.010000
assert            | info    | The following assertion has been violated at time 60.010000
assert            | info    | The following assertion has been violated at time 60.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 65.010000
assert            | info    | The following assertion has been violated at time 65.010000
assert            | info    | The following assertion has been violated at time 65.010000
assert            | info    | The following assertion has been violated at time 65.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 70.010000
assert            | info    | The following assertion has been violated at time 70.010000
assert            | info    | The following assertion has been violated at time 70.010000
assert            | info    | The following assertion has been violated at time 70.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 75.010000
assert            | info    | The following assertion has been violated at time 75.010000
assert            | info    | The following assertion has been violated at time 75.010000
assert            | info    | The following assertion has been violated at time 75.010000
assert            | info    | Found event, previous asserts are ignored.
